Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,split,metadata_csv,label,media_path,media_folder,wav_path
11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,fear,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt10.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/610a7f42860af6b29b8665347a289d66.wav
12,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt11.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/fa95da60ca8c48e9262ab8db278f6c61.wav
13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt12.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/856fba14fc4d417fc483526794bd96b6.wav
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt13.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/2708a7b397cc3a9accf45bcd0f5f1175.wav
15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia1_utt0.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/3c8a450cac25ff96657972482fe90d5a.wav
16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,sadness,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia1_utt1.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/b24ffdb62bfd1a2da7f61b79a6a07144.wav
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia1_utt2.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/679b99996a4e9e2aace67e794de9ee4e.wav
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,fear,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia1_utt3.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/6958144480d063d3a8a5b0f4fb6d086a.wav
19,Ok!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia1_utt4.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/7c9619438a621162c9a1508adfe80bd4.wav
20,"All right, well...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia1_utt5.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/94df2e82e306148e81ffd1a3cfc9cbd4.wav
23,"Yeah, sure!",Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia1_utt8.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/d48332d92361eaf1fd0b4c13236d1ff6.wav
24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt0.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/d86819546b630711c8df7c828613c651.wav
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt1.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/33cf370d3849e73728625d7c31857f7d.wav
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,joy,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt2.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/de15d6f0d3cb8588f24c1c975a3271c8.wav
27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,sadness,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt3.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/5ddd045f066c6909bb00050f27fac52d.wav
28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt4.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/a94dfed3c1e340555f2b624ae0ebbddb.wav
29,"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt5.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/16bd90ea3a9c1457e33be9c2c18ef3ba.wav
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,disgust,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt6.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/85914da7345efabd2d28ab595e3d6daa.wav
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,sadness,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt7.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/0f19884c8a3f713e07d29741e58401e4.wav
32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt8.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/1f783abada155476de79015593e0773e.wav
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt9.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/a263859dfe08f1a683867bb5a2b09d54.wav
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,joy,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt10.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/cc2baaadcb61843e7c42fc3f9a82e15a.wav
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt11.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/4a32813fca0340bf18541d447ef9d72a.wav
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,joy,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia2_utt12.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/97e6c095a9b56303af02ae46edd87ae1.wav
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt0.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/4f510c721f63ff57e1d693f2fe870ec3.wav
38,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt1.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/1d7ce2f9aee786b780b0b92b7b5d3a95.wav
39,What?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt2.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/d3b268ab1fd56bfcd5ece7a855fd5b1f.wav
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt3.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/744a39eb1b69337760603967aed89935.wav
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt4.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/8fafa014e7611f52d5274169ff34d92e.wav
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt5.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/43183fbf1601d4f13cb7915b3fb3ac1c.wav
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt6.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/925ba8d3fda139e88bc8bbbaa1dc47ad.wav
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,sadness,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt8.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/297b1ea71cc6d7215e1bff5175d700c6.wav
46,Done.,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia3_utt9.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/35e49451293172b636249f0624201cb5.wav
47,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt0.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/e16358e7424bba03b28ab8827e07dd74.wav
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,joy,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt1.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/d930251b8148d116020650d791fa9b07.wav
49,What are you doing here?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt2.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/2b57062ea43927d9eedc8b6540077d51.wav
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt3.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/e540f427cbd8fae968f1325d9c8fd112.wav
51,Oh.,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt4.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/26bb768a9df2c921537861c6c96e23aa.wav
52,Hi.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt5.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/ba3eb9ec52bd29f01763903621efe49a.wav
53,Hi.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt6.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/7b3d2a63a38e0b97b2366d9f16a9a9ac.wav
54,Howd did it go?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt7.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/ffd22d334e44687a144bede2a94f976d.wav
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,joy,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt8.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/1ccc5ec385f4f7ce835f2cdff3bef419.wav
56,Im so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,joy,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt9.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/1c3b4f1904297ca95ecf3178e1543cf8.wav
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,joy,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt10.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/74763f266c0def3733f5131f1c59b19c.wav
58,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,sadness,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt11.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/7deaaf4fd00360f2cbf2b06a3f79a3c8.wav
59,I know.,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt12.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/de56240e850745d293f161130866e452.wav
60,Yeah.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt13.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/f90582389b79ab02993d702e6e633da0.wav
61,Yeah.,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia4_utt14.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/4ee5bdf365244cfacf86a6d44233c753.wav
62,Ameri-can.,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia5_utt0.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/ed81402c4fc8f045b5bf6c1695bb0933.wav
63,Ameri-ccan.,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia5_utt1.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/6c7086a533982ae0e78b22b4b2159019.wav
64,Ameri-can. Y'know its a,Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia5_utt2.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/875fdab84355a00abd3fa242226d7765.wav
